accepted_loop_id,branch_type,source_keyframe_id,target_keyframe_id,source_scan_index,target_scan_index,source_processed_index,target_processed_index,source_timestamp,target_timestamp,source_fraction,target_fraction,keyframe_gap,path_gap_m,descriptor_error,descriptor_shift_rad,relative_pose_init_dx,relative_pose_init_dy,relative_pose_init_dtheta,relative_pose_icp_dx,relative_pose_icp_dy,relative_pose_icp_dtheta,score,mean_residual_m,inlier_ratio,translation_correction_m,rotation_correction_rad
0,local,123,99,1220,982,610,491,1774268197.0513,1774268176.614806,0.3474576271186441,0.2796610169491525,24,11.242341250909917,,,1.0802153098942266,0.06983574552007887,0.4127792115556336,-0.1544181440122238,0.46600418671745125,0.2853619255021402,0.5143084184721821,0.03715695207443781,0.6875,1.2966376515070537,0.1274172860534934
1,local,192,62,2314,778,1157,389,1774268290.336888,1774268159.064724,0.5423728813559322,0.1751412429378531,130,58.38482884663853,,,0.07482075548063083,1.5452876397164337,-0.03716317221025801,0.07177516977334852,1.0308722620734165,-0.23304260271951838,0.8356748613334115,0.08695969556026953,0.9838709677419355,0.5144243932279148,0.19587943050926038
2,local,207,198,2886,2452,1443,1226,1774268338.717613,1774268302.011777,0.5847457627118644,0.559322033898305,9,9.669581318936807,,,-0.09174401482643826,0.4445350458843125,0.22016646044448637,-0.06763045686551289,-0.05157966887887119,-0.31452793571856646,0.5717806024913445,0.018481305723929885,0.6666666666666666,0.4967003864323945,0.5346943961630528
3,local,257,243,3588,3262,1794,1631,1774268397.896878,1774268370.447532,0.7259887005649718,0.6864406779661016,14,9.448286308559489,,,-0.15788614564561154,1.0679483699082362,0.191732939867095,0.36491227619778543,1.3013179747353179,0.02841478275724201,0.5883014353486585,0.03459230913159171,0.6883116883116883,0.572520359759454,0.16331815710985298
4,local,279,0,3944,0,1972,0,1774268427.79997,1774268091.893148,0.788135593220339,0.0,279,136.28496007782542,,,-3.2157145000308147,3.64929156576749,0.6014610337662107,-1.2336643503340807,3.004930001747072,0.013892913086032686,0.4574659197355989,0.10249244206349835,0.797752808988764,2.084160411556578,0.587568120680178
5,anchor,280,11,3960,434,1980,217,1774268429.139144,1774268129.495977,0.7909604519774012,0.031073446327683617,269,125.29616296264835,0.04099074074074074,0.0,-0.3830626813546185,0.027905776224789403,0.0,-0.055656738894186666,0.055343187420367056,-0.25150632294350245,0.8227525892404902,0.03322518613551951,0.9014084507042254,0.32855359181040594,0.25150632294350245
6,anchor,310,12,4328,448,2164,224,1774268460.006169,1774268130.706576,0.8757062146892656,0.03389830508474576,298,137.56332506917096,0.06782523148148148,0.0,-0.35432362885537744,-0.06016198869990658,0.0,-0.05389784980716942,-0.050775440860594157,-0.0375294036879655,0.7689468967282816,0.07583172379153039,0.8767123287671232,0.30057238062912967,0.0375294036879655
7,anchor,312,44,4344,678,2172,339,1774268461.346363,1774268150.480341,0.8813559322033898,0.12429378531073447,268,127.27241809072953,0.09702662037037037,0.0,0.6474967821940906,0.15445522126270594,0.0,0.045870456603036756,0.024645165601716205,0.06389323091159224,0.7846216212189006,0.09111278054927478,0.9404761904761905,0.6154712716243561,0.06389323091159224
8,anchor,339,12,4632,448,2316,224,1774268485.452132,1774268130.706576,0.9576271186440678,0.03389830508474576,327,152.70748623137789,0.00868287037037037,0.0,0.11678483135437676,0.08458481005354618,0.0,-0.04916072333857572,-0.07772689693005386,0.1356420276704016,0.9114938046252974,0.058511378220234604,1.0,0.2321271577094798,0.1356420276704016
9,local,344,35,4688,630,2344,315,1774268490.117256,1774268146.363597,0.9717514124293786,0.09887005649717515,309,147.1765755467414,,,0.05731701784411625,0.02481507362036295,0.7729494883369827,-0.06232096210191685,-0.09951785206840406,0.2691380228219011,0.6748297189618908,0.0975399803763764,0.8148148148148148,0.17254542200793355,0.5038114655150816
10,anchor,348,65,4708,792,2354,396,1774268491.791397,1774268160.26154,0.9830508474576272,0.18361581920903955,283,140.03865799030268,0.07640625,0.0,0.9975508689949742,2.543848545285212,0.0,0.7298495054004673,2.7291874054285343,0.369322937803235,0.6714897698729417,0.06915087994841983,0.7916666666666666,0.32559869955143295,0.369322937803235
11,anchor,353,2,4752,42,2376,21,1774268495.478039,1774268095.574426,0.9971751412429378,0.005649717514124294,351,168.3713459122545,0.09660069444444445,0.08726646259971647,0.4896302184891873,0.1573087968513318,0.08726646259971647,-0.0010321432137623038,0.20976720318638614,0.15970878162228613,0.7703069266822574,0.09197932982423628,0.9152542372881356,0.4934586483051339,0.07244231902256966
